url,title,thumbnail
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-mahasurprise,#MahaSurprise l BJP Masterstroke or Sena Betrayal ?,15746097075ddaa32bc11db.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-lessonsofayodhya,Sunday Debate on #LessonsOfAyodhya,15733967955dc8213b10ef3.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-middleclassmatters,Sunday Debate on #MiddleClassMatters,15722501215db6a209a529c.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-brazennetas,#BrazenNetas | Aren't there things that netas shouldn't even try to brazen out?,15715702115dac42239e86f.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-moderndaymirjafars,#ModernDayMirJafars | Who are the Mir Jafars of Modern India?,15709683195da312ff645d8.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-nayakashmir,#NayaKashmir | Who represents the people of Kashmir?,15703604225d99cc663face.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-modistylediplomacy,#ModiStyleDiplomacy | India a stronger negotiator now?,15697627495d90adbd6142f.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-nooppncountry,Is Opposition alone responsible for a #NoOppnCountry?,15685435495d7e133d3a245.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-thestraightway,The real era of transparency begins with #TheStraightWay.,15679373565d74d34c44484.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-mediadebate,"#MediaDebate | Western media obsession, but no facts?",15673276715d6b85b752cb9.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-kashmirlooksahead,#KashmirLooksAhead | 'Nehru to blame for Kashmir being held back'?,15655207135d4ff34989f62.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-indiaforkashmir,#IndiaForKashmir | Biggest debate on Kashmir deployment,15649206005d46cb182cb79.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-nationvslobby,"#NationVsLobby | 49 celebs vs 62 celebs, letter vs letter - who has the edge?",15643087335d3d74fd8a2e2.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-whoinstigates,#WhoInstigates | Religious instigation to target BJP?,15624963775d21cd7912c1c.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-vendettabogey,#VendettaBogey | Where is the 'vendetta' in crackdown?,15618869275d1880cfa4911.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-citizenvsneta,"#CitizenVsNeta | From Bihar to Karnataka to Bengal, now citizens won't let Netas drown their voices anymore.",15612873735d0f5acdd8385.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-uniteindia,#UniteIndia | Who tried to divide India in 2019 elections?,15594766495cf3b9a9b1102.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-indiavsvadras,#IndiaVsVadras | Is Vadra dynasty acceptable to new india?,15570505205cceb498d09c1.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-modiwaveelection,"#ModiWaveElection | From Varanasi to Mumbai, is it a #ModiWaveElection?",15564516935cc5916db48d0.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-dharmayudhdebate,#DharmayudhDebate | Has 2019 election become a Dharam Yudh?,15558407185cbc3ece061d3.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-2019dirtycampaign,#2019DirtyCampaign | Who spoilt the 2019 campaign?,15552363755cb306177567e.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-indiaforafspa,#IndiaforAFSPA | Is Congress trying to demoralise the forces by reducing the number of forces in the Kashmir valley?,15546359435ca9dca779123.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-modionrepublic,#ModiOnRepublic | Watch the Sunday Debate as the panelists debate the Prime Minister's big 2019 elections interview,15540336265ca0abda03d12.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-chowkidardebate,#ChowkidarDebate| Who is India's 'Real Chowkidar',15534171655c9743cdcdd8c.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-debateonantinationals,#DebateOnAntiNationals | Why so touchy about term 'anti-national?',15528198455c8e26850a649.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-nationfirst,#NationFirst | Did one group work against India's interest? Did they question keeping elections in mind?,15522110195c84dc4b93ee9.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-kashmirdebate,#KashmirDebate | Will pro-Azadi change track after Pulwama?,15509997505c7260c61569b.jpeg
